ntips	nhidden	rep	mean_time	median_time	method
128	6	5	87.8164937	92.8891695	hisse
256	6	5	62.9994356	62.778093	tensorphylo
256	6	5	153.6257003	156.8053815	hisse
512	6	5	117.622645	116.909532	tensorphylo
512	6	5	276.1359184	274.1327855	hisse
1024	6	5	239.4623983	233.57208	tensorphylo
1024	6	5	508.2657168	502.6723	hisse
32	7	5	8.1687785	8.157401	tensorphylo
32	7	5	36.0387458	34.6770415	hisse
64	7	5	16.9339471	17.0086655	tensorphylo
64	7	5	54.2866363	52.9339725	hisse
128	7	5	34.3581435	34.4307545	tensorphylo
128	7	5	80.535275	81.7126105	hisse
256	7	5	65.4914238	65.159988	tensorphylo
256	7	5	148.2374393	142.6826035	hisse
512	7	5	137.5678535	137.7125425	tensorphylo
512	7	5	274.4941062	271.168629	hisse
1024	7	5	277.3978041	271.769361	tensorphylo
1024	7	5	536.3273099	534.076824	hisse
32	8	5	10.4660454	10.5106985	tensorphylo
32	8	5	30.2538467	28.323169	hisse
64	8	5	20.7280297	20.7254385	tensorphylo
64	8	5	58.2060477	59.561479	hisse
128	8	5	40.4391036	40.416119	tensorphylo
128	8	5	98.3151177	99.212497	hisse
256	8	5	77.0250354	77.00497	tensorphylo
256	8	5	155.447687	156.316231	hisse
512	8	5	147.628741	146.9794035	tensorphylo
512	8	5	271.2212525	261.086811	hisse
1024	8	5	319.3586432	311.681098	tensorphylo
1024	8	5	533.3187422	527.454012	hisse
32	9	5	8.3645412	8.375603	tensorphylo
32	9	5	26.9583856	25.4079665	hisse
64	9	5	22.4293698	22.3947945	tensorphylo
64	9	5	65.0816944	57.409553	hisse
128	9	5	43.8877079	43.8311115	tensorphylo
128	9	5	89.3883886	87.763903	hisse
256	9	5	83.3119918	82.6678285	tensorphylo
256	9	5	145.3638149	141.7009815	hisse
512	9	5	159.9215209	159.1592735	tensorphylo
512	9	5	308.8339719	311.7716875	hisse
1024	9	5	338.7800521	334.5378805	tensorphylo
1024	9	5	545.3866453	544.7154835	hisse
32	0	6	2.47558	2.4636285	tensorphylo
32	0	6	19.8698628	19.8386085	hisse
