ntips	nstates	ncores	rep	mean_time	median_time	method
32	2	2	5	0.76178	0.579002	tensorphylo
32	2	3	5	0.7472824	0.5882065	tensorphylo
32	2	4	5	0.6423716	0.499134	tensorphylo
32	4	1	5	0.6187433	0.591589	tensorphylo
32	4	2	5	0.6957413	0.5121105	tensorphylo
32	4	3	5	0.7285823	0.566046	tensorphylo
32	4	4	5	0.8660963	0.604012	tensorphylo
32	8	1	5	0.7167989	0.69044	tensorphylo
32	8	2	5	0.7690452	0.5914045	tensorphylo
32	8	3	5	1.8875006	1.8070545	tensorphylo
32	8	4	5	3.0075222	2.895092	tensorphylo
32	16	1	5	0.8725456	0.849561	tensorphylo
32	16	2	5	2.0635669	2.038807	tensorphylo
32	16	3	5	2.3586726	2.284233	tensorphylo
32	16	4	5	1.8163369	1.5831125	tensorphylo
32	32	1	5	0.9691826	0.946977	tensorphylo
32	32	2	5	1.7784652	1.753078	tensorphylo
32	32	3	5	1.9885533	1.777596	tensorphylo
32	32	4	5	2.119782	2.099364	tensorphylo
64	2	1	5	1.0735932	1.0380995	tensorphylo
64	2	2	5	3.5988119	3.561301	tensorphylo
64	2	3	5	3.6354618	3.5044955	tensorphylo
64	2	4	5	6.1345594	5.3576545	tensorphylo
64	4	1	5	1.0744665	1.041769	tensorphylo
64	4	2	5	2.6218844	2.582754	tensorphylo
64	4	3	5	4.2066082	3.8361035	tensorphylo
64	4	4	5	4.3215435	3.345682	tensorphylo
64	8	1	5	1.2527591	1.2175155	tensorphylo
64	8	2	5	3.6139778	3.5781725	tensorphylo
64	8	3	5	3.2796474	3.165692	tensorphylo
64	8	4	5	4.5049406	3.402713	tensorphylo
64	16	1	5	1.7696092	1.735202	tensorphylo
64	16	2	5	3.8454474	3.809884	tensorphylo
64	16	3	5	3.9127694	3.792951	tensorphylo
64	16	4	5	5.3572732	5.2802465	tensorphylo
64	32	1	5	1.5635965	1.5288285	tensorphylo
64	32	2	5	4.4984585	4.455716	tensorphylo
64	32	3	5	10.5751587	11.5622665	tensorphylo
64	32	4	5	3.5926127	2.9198765	tensorphylo
128	2	1	5	2.1706548	2.089237	tensorphylo
