ntips	nstates	this_algo	error	rep	mean_time	median_time	algo
32	2	2	2.75705705305995e-05	2	0.8248339	0.8203075	SEQUENTIAL_BRANCHWISE
64	2	2	3.67412710033932e-05	2	1.2249283	1.2173515	SEQUENTIAL_BRANCHWISE
128	2	2	5.9147540127924e-05	2	2.0967441	2.096904	SEQUENTIAL_BRANCHWISE
256	2	2	0.00014511140761897	2	4.6338569	4.4846825	SEQUENTIAL_BRANCHWISE
512	2	2	0.000260145715969884	2	8.321524	8.3219545	SEQUENTIAL_BRANCHWISE
1024	2	2	0.000585244966714527	2	19.0172227	18.951348	SEQUENTIAL_BRANCHWISE
32	4	2	2.35005810580446e-05	2	0.7055157	0.6957495	SEQUENTIAL_BRANCHWISE
64	4	2	3.41654642141975e-05	2	1.1470037	1.1440845	SEQUENTIAL_BRANCHWISE
128	4	2	7.48583637744105e-05	2	2.2178499	2.2081165	SEQUENTIAL_BRANCHWISE
256	4	2	0.000139355847409206	2	4.3944087	4.3893165	SEQUENTIAL_BRANCHWISE
512	4	2	0.000320306012895344	2	9.2579271	9.26928	SEQUENTIAL_BRANCHWISE
1024	4	2	0.000557902728360204	2	18.2116014	17.8053365	SEQUENTIAL_BRANCHWISE
32	8	2	1.76046443058908e-05	2	0.6948475	0.6850075	SEQUENTIAL_BRANCHWISE
64	8	2	4.28124496920645e-05	2	1.5108787	1.5224325	SEQUENTIAL_BRANCHWISE
128	8	2	6.71153015332493e-05	2	2.4437845	2.443067	SEQUENTIAL_BRANCHWISE
256	8	2	0.000159414341396769	2	4.822994	4.7938225	SEQUENTIAL_BRANCHWISE
512	8	2	0.000263470928643983	2	10.6039202	10.5694925	SEQUENTIAL_BRANCHWISE
1024	8	2	0.000564671488291424	2	20.4622759	20.357853	SEQUENTIAL_BRANCHWISE
32	16	2	1.67089737530546e-05	2	1.0343562	1.026353	SEQUENTIAL_BRANCHWISE
64	16	2	3.97585492351027e-05	2	1.8811415	1.8710555	SEQUENTIAL_BRANCHWISE
128	16	2	8.03081705385011e-05	2	3.4103431	3.4079405	SEQUENTIAL_BRANCHWISE
256	16	2	0.000124908225870968	2	5.8727703	5.8653165	SEQUENTIAL_BRANCHWISE
512	16	2	0.000263340794958822	2	13.3138562	13.2296955	SEQUENTIAL_BRANCHWISE
1024	16	2	0.000585994845323512	2	24.1637354	24.1924395	SEQUENTIAL_BRANCHWISE
32	32	2	1.38437200263297e-05	2	1.1445437	1.1348185	SEQUENTIAL_BRANCHWISE
64	32	2	2.84831601646829e-05	2	1.7977352	1.7897935	SEQUENTIAL_BRANCHWISE
128	32	2	9.12360060851825e-05	2	3.9221092	3.9204405	SEQUENTIAL_BRANCHWISE
256	32	2	0.000158771085466469	2	7.3234528	7.3505415	SEQUENTIAL_BRANCHWISE
512	32	2	0.000276441396863447	2	14.3064744	14.2611325	SEQUENTIAL_BRANCHWISE
1024	32	2	0.000555375911744704	2	28.4029878	28.2654205	SEQUENTIAL_BRANCHWISE
32	2	0	6.39867339915966	3	0.1382643	0.1300725	AUTO_TUNING
64	2	0	0.272696327208081	3	0.876416	0.8668015	AUTO_TUNING
128	2	0	0.279338850350712	3	1.9047739	1.903302	AUTO_TUNING
256	2	0	2.97370110145067	3	3.134081	3.1234825	AUTO_TUNING
512	2	0	6.31578665895211	3	6.0069879	6.006254	AUTO_TUNING
1024	2	0	8.33833915549144	3	13.5534971	13.5902905	AUTO_TUNING
32	4	0	7.13566143527905	3	0.1051814	0.099548	AUTO_TUNING
64	4	0	1.13935878320962	3	0.8171259	0.807741	AUTO_TUNING
128	4	0	0.611058714150943	3	1.5698941	1.5567085	AUTO_TUNING
256	4	0	2.79395076085876	3	2.9536769	2.949007	AUTO_TUNING
512	4	0	3.96329902428977	3	6.7419662	6.455983	AUTO_TUNING
1024	4	0	10.543996507816	3	12.4051896	12.347396	AUTO_TUNING
32	8	0	6.53287637721159	3	0.1161489	0.1080145	AUTO_TUNING
64	8	0	0.239538426786453	3	1.1215714	1.1055855	AUTO_TUNING
128	8	0	1.48624044509603	3	1.8245533	1.796456	AUTO_TUNING
256	8	0	1.68232849820129	3	4.0851949	4.082657	AUTO_TUNING
512	8	0	4.21348341055807	3	7.5092238	7.330841	AUTO_TUNING
1024	8	0	10.0142062577002	3	15.526085	15.353311	AUTO_TUNING
32	16	0	6.92205867214332	3	0.1629094	0.156948	AUTO_TUNING
64	16	0	1.04291626495038	3	1.0614244	1.043245	AUTO_TUNING
128	16	0	0.781155119847341	3	2.2130529	2.212852	AUTO_TUNING
256	16	0	2.67112402976028	3	4.3008385	4.2778375	AUTO_TUNING
512	16	0	3.6861663377947	3	8.2682158	8.1805045	AUTO_TUNING
1024	16	0	9.12979643780068	3	17.3720731	17.381458	AUTO_TUNING
32	32	0	11.8580161174057	3	0.1905434	0.182491	AUTO_TUNING
64	32	0	0.294925694022325	3	1.7756567	1.7691705	AUTO_TUNING
128	32	0	1.81422307167503	3	2.2619372	2.257911	AUTO_TUNING
256	32	0	2.09560380577557	3	5.4733852	5.4677805	AUTO_TUNING
512	32	0	8.13740280729348	3	9.0741364	9.097818	AUTO_TUNING
1024	32	0	8.28479377629151	3	20.6791126	20.547888	AUTO_TUNING
32	2	1	10.2998031959309	3	0.1697154	0.1611505	SEQUENTIAL_OPTIMIZED
64	2	1	30.2935404336923	3	0.4017836	0.3937025	SEQUENTIAL_OPTIMIZED
128	2	1	109.517406183896	3	0.5192773	0.50717	SEQUENTIAL_OPTIMIZED
256	2	1	250.697551220288	3	0.8512502	0.849643	SEQUENTIAL_OPTIMIZED
512	2	1	537.178268410111	3	1.4915636	1.477886	SEQUENTIAL_OPTIMIZED
1024	2	1	1184.17826425645	3	3.6579667	3.6739485	SEQUENTIAL_OPTIMIZED
32	4	1	11.774918139702	3	0.2735725	0.267361	SEQUENTIAL_OPTIMIZED
64	4	1	30.2507996061131	3	0.4767767	0.469245	SEQUENTIAL_OPTIMIZED
128	4	1	112.057023759961	3	0.6313426	0.62197	SEQUENTIAL_OPTIMIZED
256	4	1	233.136732438761	3	1.034471	1.022622	SEQUENTIAL_OPTIMIZED
512	4	1	579.288608244457	3	1.6136411	1.5951255	SEQUENTIAL_OPTIMIZED
1024	4	1	1287.55209890868	3	4.6793382	4.6754555	SEQUENTIAL_OPTIMIZED
32	8	1	8.85139468757664	3	0.3488731	0.3412635	SEQUENTIAL_OPTIMIZED
64	8	1	35.3492444592173	3	0.5251567	0.5146525	SEQUENTIAL_OPTIMIZED
128	8	1	114.085784656134	3	0.7600498	0.752145	SEQUENTIAL_OPTIMIZED
256	8	1	299.358621926192	3	1.0189115	1.0197725	SEQUENTIAL_OPTIMIZED
512	8	1	629.559998140715	3	2.0876421	2.041226	SEQUENTIAL_OPTIMIZED
1024	8	1	1247.23076477302	3	5.3163388	5.247713	SEQUENTIAL_OPTIMIZED
32	16	1	11.6107727144988	3	0.2957371	0.289255	SEQUENTIAL_OPTIMIZED
64	16	1	31.8605659490108	3	0.7366716	0.727135	SEQUENTIAL_OPTIMIZED
128	16	1	93.0130173372635	3	1.0612194	1.0569185	SEQUENTIAL_OPTIMIZED
256	16	1	260.828945469545	3	1.5909025	1.594408	SEQUENTIAL_OPTIMIZED
512	16	1	554.318280199088	3	2.8015095	2.79866	SEQUENTIAL_OPTIMIZED
1024	16	1	1218.06774091468	3	6.8367582	6.746837	SEQUENTIAL_OPTIMIZED
