ntips	nstates	rep	likelihood	mean_time	median_time	method
512	64	5	NA	NA	NA	diversitree
1024	64	5	-3672.24118417048	714.7251241	712.336665	tensorphylo
1024	64	5	NA	NA	NA	diversitree
32	128	5	-90.9591014328028	59.9714339	59.996366	tensorphylo
32	128	5	NA	NA	NA	diversitree
64	128	5	-254.917372603184	122.7983661	122.6744395	tensorphylo
64	128	5	NA	NA	NA	diversitree
128	128	5	-424.997497720111	259.0610092	259.4781965	tensorphylo
128	128	5	NA	NA	NA	diversitree
256	128	5	-861.962367716713	545.2817222	546.824954	tensorphylo
256	128	5	NA	NA	NA	diversitree
512	128	5	-1771.07017894301	1057.2873237	1055.6649045	tensorphylo
512	128	5	NA	NA	NA	diversitree
1024	128	5	-3605.05500599462	2047.9454982	2055.443816	tensorphylo
1024	128	5	NA	NA	NA	diversitree
32	2	6	-79.0088527990088	1.2402828	1.2354735	tensorphylo
32	2	6	-43.0832845349152	0.5910888	0.577075	diversitree
64	2	6	-113.301176081954	2.1580801	2.1343985	tensorphylo
64	2	6	-78.6732342740981	1.1838873	1.178832	diversitree
128	2	6	-328.98424534246	4.7547208	4.7445405	tensorphylo
128	2	6	-193.618772219203	2.3236299	2.3176685	diversitree
256	2	6	-481.14945420846	8.2745708	8.2657025	tensorphylo
256	2	6	-318.557253933617	4.6892356	4.6367105	diversitree
512	2	6	-1030.38911469747	16.5014463	16.551577	tensorphylo
512	2	6	-647.982713804611	9.7921407	9.4133745	diversitree
1024	2	6	-2499.01248088385	33.4248318	33.5433505	tensorphylo
1024	2	6	-1310.8631228355	20.5433411	19.028756	diversitree
32	4	6	-87.3032288911727	1.8103099	1.809125	tensorphylo
32	4	6	-48.2027383591756	0.7871959	0.7770525	diversitree
64	4	6	-173.648599664197	3.6159007	3.603982	tensorphylo
64	4	6	-107.088313349931	1.6183643	1.615892	diversitree
128	4	6	-338.35166640139	5.148083	5.1365825	tensorphylo
128	4	6	-158.89591788881	3.1716739	3.1991275	diversitree
256	4	6	-635.363422988916	11.2344838	11.1962185	tensorphylo
256	4	6	-335.225504826513	6.3137089	6.3300105	diversitree
512	4	6	-1246.81918192339	20.2879521	20.264783	tensorphylo
512	4	6	-666.181224913591	13.2932578	12.862274	diversitree
1024	4	6	-2399.94146843884	45.8396441	46.1596245	tensorphylo
1024	4	6	-1356.54621693796	26.6354983	25.3274015	diversitree
32	8	6	-96.8300343738048	2.4863056	2.4769125	tensorphylo
32	8	6	-42.7523611485311	1.8206419	1.806214	diversitree
64	8	6	-169.191094720614	3.8545453	3.832434	tensorphylo
64	8	6	-76.8236444879414	3.5481892	3.5353685	diversitree
128	8	6	-513.167434592365	8.2997817	8.3090395	tensorphylo
128	8	6	-162.721213245551	6.9582699	6.913338	diversitree
256	8	6	-993.055841145991	19.0768244	19.092388	tensorphylo
256	8	6	-344.449744601368	14.3231614	14.2660115	diversitree
